#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1AA1B
#Date Time: 2019-11-28 15:17:11.989
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
1.68688,1.88982,2.92317
1.68688,1.86035,2.77408
1.68688,1.84562,1.10508
1.68688,1.90823,0.261488
1.68688,2.25814,1.05781
1.68688,2.45336,0.748735
1.68688,2.57122,0.425116
1.68688,2.7075,0.646923
1.68688,2.85484,0.676012
1.68688,2.88062,0.512384
1.68688,2.96534,0.570563
1.68688,3.00217,0.81055
1.68688,3.02058,2.44683
1.68688,2.93587,3.18861
1.68688,2.58596,2.48683
1.68688,2.46072,2.85044
1.68688,2.31708,3.06134
1.68688,2.20289,2.89408
1.68688,2.04451,2.86863
1.68688,2.004,3.02498
1.68688,1.90455,2.95953
1.68688,1.85667,2.75954
1.68688,1.83457,1.08326
1.68688,1.91191,0.246943
1.68688,2.26551,1.07236
1.68688,2.45704,0.737827
1.68688,2.57491,0.428752
1.68688,2.71487,0.657831
1.68688,2.8622,0.694193
1.68688,2.86957,0.505112
1.68688,2.99848,0.577835
1.68688,3.0169,0.79237
1.68688,3.02058,2.43592
1.68688,2.92482,3.20315
1.68688,2.58596,2.49046
1.68688,2.43494,2.8359
1.68688,2.31708,3.07589
1.68688,2.21763,2.90135
1.68688,2.05188,2.87953
1.68688,2.00031,3.02134
1.68688,1.90455,2.95589
1.68688,1.86035,2.77408
1.68688,1.83088,1.0869
1.68688,1.9156,0.25058
1.68688,2.27288,1.03963
1.68688,2.46441,0.737827
1.68688,2.55281,0.42148
1.68688,2.71487,0.63965
1.68688,2.8622,0.672376
1.68688,2.90272,0.519656
1.68688,2.9727,0.559654
1.68688,3.02427,0.799642
1.68688,3.03163,2.44683
1.68688,2.94692,3.21043
1.68688,2.58227,2.49046
1.68688,2.44967,2.82499
1.68688,2.33181,3.0868
1.68688,2.19184,2.87953
1.68688,2.0482,2.86499
1.68688,1.99663,3.03589
1.68688,1.90086,2.93771
1.68688,1.86403,2.7559
1.68688,1.85298,1.08326
1.68688,1.92296,0.26876
1.68688,2.27288,1.0469
1.68688,2.46441,0.734191
1.68688,2.56017,0.410571
1.68688,2.7075,0.63965
1.68688,2.85852,0.672376
1.68688,2.89535,0.490567
1.68688,2.97639,0.566927
1.68688,3.0169,0.799642
1.68688,3.02427,2.43592
1.68688,2.9285,3.21043
1.68688,2.58596,2.49774
1.68688,2.45704,2.82863
1.68688,2.32444,3.07952
1.68688,2.20658,2.87953
1.68688,2.03715,2.88317
1.68688,1.99295,3.01407
1.68688,1.90455,2.93408
1.68688,1.86403,2.76318
1.68688,1.83088,1.10508
1.68688,1.92296,0.257852
1.68688,2.28393,1.0469
1.68688,2.46441,0.752372
1.68688,2.56386,0.417844
1.68688,2.68541,0.654195
1.68688,2.85484,0.654195
1.68688,2.89167,0.508748
1.68688,2.96902,0.559654
1.68688,3.03163,0.803278
1.68688,3.02427,2.43956
